Song_id,Quadrant,in_balanced_train,in_balanced_validate,in_balanced_test,in_complete_train,in_complete_validate,in_complete_test
L001-141,Q4,True,False,False,True,False,False
L002-157,Q3,True,False,False,True,False,False
L004-120,Q1,True,False,False,True,False,False
L005-84,Q1,True,False,False,True,False,False
L006-135,Q2,False,False,False,True,False,False
L007-76,Q3,True,False,False,True,False,False
L008-146,Q3,True,False,False,True,False,False
L009-151,Q4,True,False,False,True,False,False
L010-168,Q4,True,False,False,True,False,False
L011-156,Q4,True,False,False,True,False,False
L012-81,Q1,True,False,False,True,False,False
L013-159,Q3,True,False,False,True,False,False
L014-137,Q4,True,False,False,True,False,False
L015-160,Q3,False,False,False,True,False,False
L016-77,Q3,False,False,False,True,False,False
L017-133,Q2,True,False,False,False,False,True
L018-109,Q1,True,False,False,True,False,False
L020-162,Q3,False,False,True,False,False,True
L021-101,Q2,False,False,False,True,False,False
L022-121,Q1,True,False,False,True,False,False
L024-142,Q4,True,False,False,True,False,False
L025-86,Q4,False,False,True,False,True,False
L026-97,Q2,True,False,False,True,False,False
L027-153,Q4,False,True,False,True,False,False
L028-150,Q3,False,True,False,False,True,False
L030-166,Q2,True,False,False,True,False,False
L031-139,Q4,True,False,False,True,False,False
L032-98,Q2,True,False,False,True,False,False
L033-72,Q3,True,False,False,True,False,False
L034-79,Q3,True,False,False,True,False,False
L035-134,Q4,False,True,False,True,False,False
L036-118,Q1,False,False,True,False,False,True
L037-169,Q2,False,False,False,True,False,False
L038-102,Q1,False,True,False,False,True,False
L040-132,Q2,False,False,True,True,False,False
L041-172,Q2,False,True,False,True,False,False
L042-108,Q1,False,True,False,False,True,False
L043-130,Q1,True,False,False,True,False,False
L044-107,Q1,True,False,False,True,False,False
L045-145,Q1,True,False,False,True,False,False
L046-147,Q3,True,False,False,True,False,False
L047-71,Q3,True,False,False,True,False,False
L048-163,Q3,True,False,False,True,False,False
L049-164,Q2,False,False,False,True,False,False
L050-149,Q1,True,False,False,True,False,False
L051,Q4,True,False,False,True,False,False
L052,Q4,True,False,False,True,False,False
L053,Q3,True,False,False,True,False,False
L054,Q3,True,False,False,True,False,False
L055,Q1,True,False,False,True,False,False
L058,Q2,False,False,False,True,False,False
L059,Q1,True,False,False,True,False,False
L060,Q2,True,False,False,True,False,False
L061,Q1,True,False,False,True,False,False
L063,Q2,True,False,False,True,False,False
L064,Q1,True,False,False,True,False,False
L065,Q2,False,False,False,True,False,False
L066,Q3,True,False,False,True,False,False
L067,Q4,True,False,False,True,False,False
L068,Q3,True,False,False,True,False,False
L069,Q1,True,False,False,True,False,False
L070,Q2,False,False,False,True,False,False
L071,Q4,True,False,False,True,False,False
L072,Q1,True,False,False,True,False,False
L073,Q2,True,False,False,False,False,True
L074,Q1,True,False,False,True,False,False
L075,Q2,True,False,False,True,False,False
L076,Q2,False,False,False,True,False,False
L078,Q2,True,False,False,True,False,False
L079,Q3,True,False,False,True,False,False
L080,Q4,True,False,False,True,False,False
L082,Q4,True,False,False,True,False,False
L083,Q4,True,False,False,True,False,False
L084,Q3,True,False,False,True,False,False
L085,Q3,True,False,False,True,False,False
L087,Q4,True,False,False,True,False,False
L088,Q3,True,False,False,True,False,False
L089,Q1,True,False,False,True,False,False
L090,Q1,True,False,False,True,False,False
L091,Q4,True,False,False,True,False,False
L092,Q1,False,True,False,False,True,False
L093,Q1,True,False,False,True,False,False
L095,Q3,True,False,False,True,False,False
L096,Q3,True,False,False,True,False,False
L097,Q1,True,False,False,True,False,False
L098,Q3,True,False,False,True,False,False
L099,Q2,True,False,False,True,False,False
L100,Q1,True,False,False,True,False,False
L101,Q2,True,False,False,True,False,False
L102,Q2,True,False,False,True,False,False
L103,Q4,True,False,False,True,False,False
L104,Q3,True,False,False,True,False,False
L105,Q2,True,False,False,True,False,False
L107,Q1,True,False,False,True,False,False
L108,Q4,True,False,False,True,False,False
L109,Q3,True,False,False,True,False,False
L110,Q3,True,False,False,True,False,False
L111-66,Q3,True,False,False,True,False,False
L112-170,Q2,True,False,False,True,False,False
L113-90,Q4,True,False,False,True,False,False
L114-116,Q1,True,False,False,True,False,False
L115-161,Q3,True,False,False,True,False,False
L116-140,Q4,True,False,False,True,False,False
L117-104,Q4,True,False,False,True,False,False
L118-167,Q2,True,False,False,True,False,False
L121-70,Q3,True,False,False,True,False,False
L122-148,Q4,False,False,False,True,False,False
L123-143,Q3,True,False,False,True,False,False
L124-91,Q2,True,False,False,True,False,False
L125-128,Q2,False,False,False,True,False,False
L126-83,Q4,True,False,False,True,False,False
L127-122,Q1,True,False,False,True,False,False
L128-173,Q4,True,False,False,True,False,False
L130-92,Q2,True,False,False,True,False,False
L131-67,Q3,True,False,False,True,False,False
L132-93,Q2,False,False,False,True,False,False
L133-158,Q3,True,False,False,True,False,False
L134-75,Q3,False,False,True,True,False,False
L135-69,Q3,True,False,False,True,False,False
L136-123,Q1,True,False,False,True,False,False
L137-165,Q2,False,False,False,True,False,False
L138-136,Q4,True,False,False,True,False,False
L140-94,Q2,True,False,False,True,False,False
L141-95,Q2,False,False,False,True,False,False
L142-96,Q1,True,False,False,True,False,False
L144-110,Q1,True,False,False,True,False,False
L145-113,Q1,True,False,False,True,False,False
L146-68,Q3,True,False,False,True,False,False
L147-152,Q3,True,False,False,True,False,False
